st_cnty_tract,cbsa_cd,cbsa_name,tot_safmr_vau,safmr_vau_share_occ_units
36093032502,10580,"Albany-Schenectady-Troy, NY ",25,44.642857
36091060601,10580,"Albany-Schenectady-Troy, NY ",140.9313,36.703598
36093032101,10580,"Albany-Schenectady-Troy, NY ",0,0
36083052003,10580,"Albany-Schenectady-Troy, NY ",26.856108,7.1047902
36001014302,10580,"Albany-Schenectady-Troy, NY ",264.94876,35.852337
36091061401,10580,"Albany-Schenectady-Troy, NY ",170,64.638786
36091062700,10580,"Albany-Schenectady-Troy, NY ",333.39999,42.85347
36093033102,10580,"Albany-Schenectady-Troy, NY ",151.66762,46.381535
36001014611,10580,"Albany-Schenectady-Troy, NY ",93.306267,35.477669
36001013300,10580,"Albany-Schenectady-Troy, NY ",955,56.342182
36083052301,10580,"Albany-Schenectady-Troy, NY ",55.504654,6.6313806
36001014802,10580,"Albany-Schenectady-Troy, NY ",25.792578,49.601112
36091062506,10580,"Albany-Schenectady-Troy, NY ",103.24,38.812031
36093020500,10580,"Albany-Schenectady-Troy, NY ",117.11775,30.659098
36083052002,10580,"Albany-Schenectady-Troy, NY ",7.3178225,26.13508
36083051702,10580,"Albany-Schenectady-Troy, NY ",460,75.163399
36001002000,10580,"Albany-Schenectady-Troy, NY ",642.32001,57.866669
36093032601,10580,"Albany-Schenectady-Troy, NY ",84.199997,36.450214
36093020200,10580,"Albany-Schenectady-Troy, NY ",372.96219,40.320236
36001014100,10580,"Albany-Schenectady-Troy, NY ",195.49887,25.99719
36091062100,10580,"Albany-Schenectady-Troy, NY ",218.19495,83.380074
36093032403,10580,"Albany-Schenectady-Troy, NY ",93.68,54.465115
36001014301,10580,"Albany-Schenectady-Troy, NY ",269.95294,80.104729
36083052101,10580,"Albany-Schenectady-Troy, NY ",12.52125,20.526638
36095740200,10580,"Albany-Schenectady-Troy, NY ",517.5,62.651333
36091062508,10580,"Albany-Schenectady-Troy, NY ",451.72,75.664993
36091061303,10580,"Albany-Schenectady-Troy, NY ",0.14933871,52.627556
36091061600,10580,"Albany-Schenectady-Troy, NY ",5.4949703,8.0808392
36091060501,10580,"Albany-Schenectady-Troy, NY ",95,54.285713
36001013801,10580,"Albany-Schenectady-Troy, NY ",493.2052,87.758934
36095740500,10580,"Albany-Schenectady-Troy, NY ",272.75879,71.968018
36091060702,10580,"Albany-Schenectady-Troy, NY ",542.82269,46.119175
36091062507,10580,"Albany-Schenectady-Troy, NY ",267.14545,69.56913
36083052004,10580,"Albany-Schenectady-Troy, NY ",92.340897,15.704234
36001014502,10580,"Albany-Schenectady-Troy, NY ",81.845619,60.180603
36083052503,10580,"Albany-Schenectady-Troy, NY ",165.8,73.362831
36093020101,10580,"Albany-Schenectady-Troy, NY ",180.83856,32.999737
36091062403,10580,"Albany-Schenectady-Troy, NY ",359.73065,39.793213
36093021700,10580,"Albany-Schenectady-Troy, NY ",540.96002,57.063293
36091061701,10580,"Albany-Schenectady-Troy, NY ",240.28468,38.693184
36093032503,10580,"Albany-Schenectady-Troy, NY ",18.709507,26.351418
36001000800,10580,"Albany-Schenectady-Troy, NY ",462.51251,60.776939
36001014607,10580,"Albany-Schenectady-Troy, NY ",209.00742,55.147076
36083052103,10580,"Albany-Schenectady-Troy, NY ",51.848705,46.293488
36001014503,10580,"Albany-Schenectady-Troy, NY ",97.400002,38.498024
35001001101,10740,"Albuquerque, NM ",257.63937,29.159151
35001003733,10740,"Albuquerque, NM ",1198,91.590218
35001002700,10740,"Albuquerque, NM ",852.66187,75.859596
35001002402,10740,"Albuquerque, NM ",452.94888,44.147064
35001000300,10740,"Albuquerque, NM ",373.95416,32.770748
35001004300,10740,"Albuquerque, NM ",412.69968,39.342228
35001003502,10740,"Albuquerque, NM ",59.989002,23.900002
35001004750,10740,"Albuquerque, NM ",88.879997,19.196543
35001003721,10740,"Albuquerque, NM ",11.297532,2.834157
35001004716,10740,"Albuquerque, NM ",414.72537,58.014633
35001000126,10740,"Albuquerque, NM ",258.20001,51.951714
35001001300,10740,"Albuquerque, NM ",434,88.032455
35043940500,10740,"Albuquerque, NM ",195.3,41.820129
35001000118,10740,"Albuquerque, NM ",314.10693,60.405178
35043010721,10740,"Albuquerque, NM ",502.95999,72.264366
35001000713,10740,"Albuquerque, NM ",1073.0084,66.41922
35001004747,10740,"Albuquerque, NM ",318.35999,54.235092
35001000604,10740,"Albuquerque, NM ",955.20001,77.848412
35001003732,10740,"Albuquerque, NM ",274.56,47.094337
35001004738,10740,"Albuquerque, NM ",184.39999,16.886446
35001000107,10740,"Albuquerque, NM ",223.28889,83.198959
35001004713,10740,"Albuquerque, NM ",83.729973,17.879374
35001004720,10740,"Albuquerque, NM ",171.12,33.75148
35001003001,10740,"Albuquerque, NM ",400.99402,49.566628
35001002500,10740,"Albuquerque, NM ",257.99844,48.908298
35043940600,10740,"Albuquerque, NM ",6,5.2631578
