st_cnty_tract,cbsa_cd,cbsa_name,pov_pct,pov_cat,tot_safmr_vau
36093033102,10580,"Albany-Schenectady-Troy, NY ",14.641289,10-19.9%,151.66762
36091060200,10580,"Albany-Schenectady-Troy, NY ",10.742918,10-19.9%,494.39999
36091062300,10580,"Albany-Schenectady-Troy, NY ",20.146231,20-29.9%,440.88519
36001013901,10580,"Albany-Schenectady-Troy, NY ",2.4702249,Below 10%,20.639999
36093032602,10580,"Albany-Schenectady-Troy, NY ",5.7669582,Below 10%,308.3873
36083052403,10580,"Albany-Schenectady-Troy, NY ",4.7654505,Below 10%,261.05396
36001013707,10580,"Albany-Schenectady-Troy, NY ",5.9416084,Below 10%,304.37885
36001000300,10580,"Albany-Schenectady-Troy, NY ",26.507692,20-29.9%,1139.9778
36093032901,10580,"Albany-Schenectady-Troy, NY ",6.1675272,Below 10%,59.639999
36093033101,10580,"Albany-Schenectady-Troy, NY ",3.0985916,Below 10%,31.084345
36093033300,10580,"Albany-Schenectady-Troy, NY ",5.1384988,Below 10%,165.05222
36093033500,10580,"Albany-Schenectady-Troy, NY ",9.6002855,Below 10%,626.5
36095740200,10580,"Albany-Schenectady-Troy, NY ",14.086243,10-19.9%,517.5
36001012900,10580,"Albany-Schenectady-Troy, NY ",17.980152,10-19.9%,887.32001
36083052002,10580,"Albany-Schenectady-Troy, NY ",5.8667841,Below 10%,7.3178225
36091060902,10580,"Albany-Schenectady-Troy, NY ",11.94487,10-19.9%,206.72206
36083040200,10580,"Albany-Schenectady-Troy, NY ",20.646887,20-29.9%,906.5
36093021700,10580,"Albany-Schenectady-Troy, NY ",23.77841,20-29.9%,540.96002
36001014803,10580,"Albany-Schenectady-Troy, NY ",8.2166204,Below 10%,137.03612
36091060400,10580,"Albany-Schenectady-Troy, NY ",9.9260416,Below 10%,171.12
36001014302,10580,"Albany-Schenectady-Troy, NY ",5.1990747,Below 10%,264.94876
36091062501,10580,"Albany-Schenectady-Troy, NY ",1.1410584,Below 10%,27
36083052303,10580,"Albany-Schenectady-Troy, NY ",12.62907,10-19.9%,17.200001
36001002300,10580,"Albany-Schenectady-Troy, NY ",22.328459,20-29.9%,521.79999
36093021200,10580,"Albany-Schenectady-Troy, NY ",11.557948,10-19.9%,433.72
36001000100,10580,"Albany-Schenectady-Troy, NY ",27.133581,20-29.9%,400.79999
36083052601,10580,"Albany-Schenectady-Troy, NY ",3.5132096,Below 10%,107.88403
36083041100,10580,"Albany-Schenectady-Troy, NY ",24.82621,20-29.9%,656.74701
36093020500,10580,"Albany-Schenectady-Troy, NY ",7.2777267,Below 10%,117.11775
36093020800,10580,"Albany-Schenectady-Troy, NY ",23.085077,20-29.9%,605.43829
36093020600,10580,"Albany-Schenectady-Troy, NY ",4.2352304,Below 10%,246.26418
36091060102,10580,"Albany-Schenectady-Troy, NY ",13.079585,10-19.9%,299.92184
36083040700,10580,"Albany-Schenectady-Troy, NY ",20.803537,20-29.9%,1120.2811
36091061702,10580,"Albany-Schenectady-Troy, NY ",3.2445738,Below 10%,125.1824
36091061600,10580,"Albany-Schenectady-Troy, NY ",3.9485981,Below 10%,5.4949703
36091061302,10580,"Albany-Schenectady-Troy, NY ",7.3491988,Below 10%,393.10645
36091060601,10580,"Albany-Schenectady-Troy, NY ",12.061477,10-19.9%,140.9313
36001013601,10580,"Albany-Schenectady-Troy, NY ",6.3208151,Below 10%,987.71204
36001014100,10580,"Albany-Schenectady-Troy, NY ",3.6653092,Below 10%,195.49887
36001013801,10580,"Albany-Schenectady-Troy, NY ",11.360931,10-19.9%,493.2052
36083040300,10580,"Albany-Schenectady-Troy, NY ",12.656514,10-19.9%,357.62759
36001000502,10580,"Albany-Schenectady-Troy, NY ",31.027668,30-39.9%,314.88
36001014501,10580,"Albany-Schenectady-Troy, NY ",5.3168244,Below 10%,63.522717
36001000200,10580,"Albany-Schenectady-Troy, NY ",27.385424,20-29.9%,967.18079
